"","title","author","school","sentence_spacy","sentence_str","original_publication_date","corpus_edition_date","sentence_length","sentence_lowered","tokenized_txt","lemmatized_str","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","The Search After Truth","Malebranche","rationalism","ause traces like those that are opened up when he sees a Gen. (vv.ll.","ause traces like those that are opened up when he sees a Gen. (vv.ll.",1674,1997,69,"ause traces like those that are opened up when he sees a gen. (vv.ll.","['ause', 'traces', 'like', 'those', 'that', 'are', 'opened', 'up', 'when', 'he', 'sees', 'gen', 'vv', 'll']","ause trace like those that be open up when -PRON- see a Gen. ( vv.ll .",0,0,0,0,0,0,0,0,0,0
"2","The Wealth Of Nations","Smith","capitalism","Of the Expense of Justice","Of the Expense of Justice",1776,2009,25,"of the expense of justice","['of', 'the', 'expense', 'of', 'justice']","of the expense of Justice",0,0,0,0,0,0,0,1,0,1
"3","Essay Concerning Human Understanding","Locke","empiricism","That there are minds and thinking beings in other men as well as himself, every man has a reason, from their words and actions, to be satisfied: and the knowledge of his own mind cannot suffer a man that considers, to be ignorant that there is a God.","That there are minds and thinking beings in other men as well as himself, every man has a reason, from their words and actions, to be satisfied: and the knowledge of his own mind cannot suffer a man that considers, to be ignorant that there is a God.",1689,2004,250,"that there are minds and thinking beings in other men as well as himself, every man has a reason, from their words and actions, to be satisfied: and the knowledge of his own mind cannot suffer a man that considers, to be ignorant that there is a god.","['that', 'there', 'are', 'minds', 'and', 'thinking', 'beings', 'in', 'other', 'men', 'as', 'well', 'as', 'himself', 'every', 'man', 'has', 'reason', 'from', 'their', 'words', 'and', 'actions', 'to', 'be', 'satisfied', 'and', 'the', 'knowledge', 'of', 'his', 'own', 'mind', 'cannot', 'suffer', 'man', 'that', 'considers', 'to', 'be', 'ignorant', 'that', 'there', 'is', 'god']","that there be mind and think being in other man as well as -PRON- , every man have a reason , from -PRON- word and action , to be satisfied : and the knowledge of -PRON- own mind can not suffer a man that consider , to be ignorant that there be a God .",1,1,1,1,2,0,0,1,3,4
"4","Aristotle - Complete Works","Aristotle","aristotle","Certainly it is what is best or final that should be stated, eg that desire is not for the pleasant but for pleasure; for this is our purpose in choosing what is pleasant.","Certainly it is what is best or final that should be stated, eg that desire is not for the pleasant but for pleasure; for this is our purpose in choosing what is pleasant.",-320,1991,171,"certainly it is what is best or final that should be stated, eg that desire is not for the pleasant but for pleasure; for this is our purpose in choosing what is pleasant.","['certainly', 'it', 'is', 'what', 'is', 'best', 'or', 'final', 'that', 'should', 'be', 'stated', 'eg', 'that', 'desire', 'is', 'not', 'for', 'the', 'pleasant', 'but', 'for', 'pleasure', 'for', 'this', 'is', 'our', 'purpose', 'in', 'choosing', 'what', 'is', 'pleasant']","certainly -PRON- be what be good or final that should be state , eg that desire be not for the pleasant but for pleasure ; for this be -PRON- purpose in choose what be pleasant .",0,1,0,0,1,0,1,1,0,1
"5","Philosophical Troubles","Kripke","analytic","Presumably I, too, had I been four years old, might have been liable to error and believed that I was not four years old.","Presumably I, too, had I been four years old, might have been liable to error and believed that I was not four years old.",1975,2011,121,"presumably i, too, had i been four years old, might have been liable to error and believed that i was not four years old.","['presumably', 'too', 'had', 'been', 'four', 'years', 'old', 'might', 'have', 'been', 'liable', 'to', 'error', 'and', 'believed', 'that', 'was', 'not', 'four', 'years', 'old']","presumably -PRON- , too , have -PRON- be four year old , may have be liable to error and believe that -PRON- be not four year old .",0,0,0,0,0,1,0,1,1,0
"6","Plato - Complete Works","Plato","plato","He will say that in the life of selfcontrol the pleasures outweigh the pains, and in the licentious life the pains exceed the pleasures, in point of size, number and frequency.","He will say that in the life of selfcontrol the pleasures outweigh the pains, and in the licentious life the pains exceed the pleasures, in point of size, number and frequency.",-350,1997,176,"he will say that in the life of selfcontrol the pleasures outweigh the pains, and in the licentious life the pains exceed the pleasures, in point of size, number and frequency.","['he', 'will', 'say', 'that', 'in', 'the', 'life', 'of', 'selfcontrol', 'the', 'pleasures', 'outweigh', 'the', 'pains', 'and', 'in', 'the', 'licentious', 'life', 'the', 'pains', 'exceed', 'the', 'pleasures', 'in', 'point', 'of', 'size', 'number', 'and', 'frequency']","-PRON- will say that in the life of selfcontrol the pleasure outweigh the pain , and in the licentious life the pain exceed the pleasure , in point of size , number and frequency .",0,1,0,0,1,0,0,0,1,1
"7","Lewis - Papers","Lewis","analytic","If so, we will also call a meaningful expression, a surface structure of, /V an and intermediate structures of, a base structure of, and a meaning of (all relative to the grammar (L T)).","If so, we will also call a meaningful expression, a surface structure of, /V an and intermediate structures of, a base structure of, and a meaning of (all relative to the grammar (L T)).",1985,2008,186,"if so, we will also call a meaningful expression, a surface structure of, /v an and intermediate structures of, a base structure of, and a meaning of (all relative to the grammar (l t)).","['if', 'so', 'we', 'will', 'also', 'call', 'meaningful', 'expression', 'surface', 'structure', 'of', 'an', 'and', 'intermediate', 'structures', 'of', 'base', 'structure', 'of', 'and', 'meaning', 'of', 'all', 'relative', 'to', 'the', 'grammar']","if so , -PRON- will also call a meaningful expression , a surface structure of , /V an and intermediate structure of , a base structure of , and a meaning of ( all relative to the grammar ( L T ) ) .",0,0,0,0,0,0,0,4,0,1
"8","Second Treatise On Government","Locke","empiricism","But this no more makes a man a member of that society, a perpetual subject of that commonwealth, than it would make a man a subject to another, in whose family he found it convenient to abide for some time; though, whilst he continued in it, he were obliged to comply with the laws, and submit to the government he found there.","But this no more makes a man a member of that society, a perpetual subject of that commonwealth, than it would make a man a subject to another, in whose family he found it convenient to abide for some time; though, whilst he continued in it, he were obliged to comply with the laws, and submit to the government he found there.",1689,2010,327,"but this no more makes a man a member of that society, a perpetual subject of that commonwealth, than it would make a man a subject to another, in whose family he found it convenient to abide for some time; though, whilst he continued in it, he were obliged to comply with the laws, and submit to the government he found there.","['but', 'this', 'no', 'more', 'makes', 'man', 'member', 'of', 'that', 'society', 'perpetual', 'subject', 'of', 'that', 'commonwealth', 'than', 'it', 'would', 'make', 'man', 'subject', 'to', 'another', 'in', 'whose', 'family', 'he', 'found', 'it', 'convenient', 'to', 'abide', 'for', 'some', 'time', 'though', 'whilst', 'he', 'continued', 'in', 'it', 'he', 'were', 'obliged', 'to', 'comply', 'with', 'the', 'laws', 'and', 'submit', 'to', 'the', 'government', 'he', 'found', 'there']","but this no more make a man a member of that society , a perpetual subject of that commonwealth , than -PRON- would make a man a subject to another , in whose family -PRON- find -PRON- convenient to abide for some time ; though , whilst -PRON- continue in -PRON- , -PRON- be oblige to comply with the law , and submit to the government -PRON- find there .",0,2,0,1,1,0,0,2,2,3
"9","Ecce Homo","Nietzsche","nietzsche","Hearkened any thereto?","Hearkened any thereto?",1888,2016,22,"hearkened any thereto?","['hearkened', 'any', 'thereto']","Hearkened any thereto ?",0,0,0,0,0,0,0,0,0,0
"10","Naming And Necessity","Kripke","analytic","Kneale gives an argument for this theory. '","Kneale gives an argument for this theory. '",1972,1990,43,"kneale gives an argument for this theory. '","['kneale', 'gives', 'an', 'argument', 'for', 'this', 'theory']","Kneale give an argument for this theory . '",1,1,0,0,0,0,0,1,1,0
"11","The Order Of Things","Foucault","continental","The modern cogito (and this is why it is not so much the discovery of an evident truth as a ceaseless task constantly to be undertaken afresh)","The modern cogito (and this is why it is not so much the discovery of an evident truth as a ceaseless task constantly to be undertaken afresh)",1966,2002,142,"the modern cogito (and this is why it is not so much the discovery of an evident truth as a ceaseless task constantly to be undertaken afresh)","['the', 'modern', 'cogito', 'and', 'this', 'is', 'why', 'it', 'is', 'not', 'so', 'much', 'the', 'discovery', 'of', 'an', 'evident', 'truth', 'as', 'ceaseless', 'task', 'constantly', 'to', 'be', 'undertaken', 'afresh']","the modern cogito ( and this be why -PRON- be not so much the discovery of an evident truth as a ceaseless task constantly to be undertake afresh )",0,0,0,0,0,0,0,3,0,4
"12","Aristotle - Complete Works","Aristotle","aristotle","In what sense is it asserted that all things are one?","In what sense is it asserted that all things are one?",-320,1991,53,"in what sense is it asserted that all things are one?","['in', 'what', 'sense', 'is', 'it', 'asserted', 'that', 'all', 'things', 'are', 'one']","in what sense be -PRON- assert that all thing be one ?",0,0,0,0,0,0,0,0,0,1
"13","Off The Beaten Track","Heidegger","phenomenology","Man as the representing subject fantasizes, however: he moves in imaginatio in that his representation imagines the being as object into the world as picture.","Man as the representing subject fantasizes, however: he moves in imaginatio in that his representation imagines the being as object into the world as picture.",1950,2001,158,"man as the representing subject fantasizes, however: he moves in imaginatio in that his representation imagines the being as object into the world as picture.","['man', 'as', 'the', 'representing', 'subject', 'fantasizes', 'however', 'he', 'moves', 'in', 'imaginatio', 'in', 'that', 'his', 'representation', 'imagines', 'the', 'being', 'as', 'object', 'into', 'the', 'world', 'as', 'picture']","man as the represent subject fantasize , however : -PRON- move in imaginatio in that -PRON- representation imagine the being as object into the world as picture .",0,1,0,0,0,0,0,0,1,0
"14","Being And Time","Heidegger","phenomenology","It is only because useful things have this being in them selves, and do not merely occur, that they are handy in the broadest sense and are at our disposal.","It is only because useful things have this being in them selves, and do not merely occur, that they are handy in the broadest sense and are at our disposal.",1927,1996,156,"it is only because useful things have this being in them selves, and do not merely occur, that they are handy in the broadest sense and are at our disposal.","['it', 'is', 'only', 'because', 'useful', 'things', 'have', 'this', 'being', 'in', 'them', 'selves', 'and', 'do', 'not', 'merely', 'occur', 'that', 'they', 'are', 'handy', 'in', 'the', 'broadest', 'sense', 'and', 'are', 'at', 'our', 'disposal']","-PRON- be only because useful thing have this being in -PRON- self , and do not merely occur , that -PRON- be handy in the broad sense and be at -PRON- disposal .",0,0,0,0,0,0,0,0,1,2
"15","Critique Of Pure Reason","Kant","german_idealism","The Antinomy ofPure Reason First Conflict of the Transcendental Ideas Antithesis The world has no beginning and no bounds in space, but is infinite with regard to both time and space.","The Antinomy ofPure Reason First Conflict of the Transcendental Ideas Antithesis The world has no beginning and no bounds in space, but is infinite with regard to both time and space.",1781,1998,183,"the antinomy ofpure reason first conflict of the transcendental ideas antithesis the world has no beginning and no bounds in space, but is infinite with regard to both time and space.","['the', 'antinomy', 'ofpure', 'reason', 'first', 'conflict', 'of', 'the', 'transcendental', 'ideas', 'antithesis', 'the', 'world', 'has', 'no', 'beginning', 'and', 'no', 'bounds', 'in', 'space', 'but', 'is', 'infinite', 'with', 'regard', 'to', 'both', 'time', 'and', 'space']","the Antinomy ofpure reason first conflict of the Transcendental Ideas Antithesis the world have no beginning and no bound in space , but be infinite with regard to both time and space .",2,1,0,1,0,1,0,0,2,3
